epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7956,0.73376,2.67108,0.92525,0.63933,0.46536,0.57218,0.4848,0.59212,1.84935,0.86703,0.000236081,0.000236081,0.000236081
2,34.586,0.63725,1.19114,0.89188,0.71777,0.641,0.67418,0.58441,0.54616,1.16509,0.86081,0.000464694,0.000464694,0.000464694
3,51.4892,0.62662,1.01715,0.89251,0.76869,0.68592,0.72109,0.62326,0.53262,0.94859,0.86104,0.000683882,0.000683882,0.000683882
4,68.5867,0.61309,0.8967,0.88643,0.77339,0.69786,0.69063,0.60541,0.51019,0.94864,0.856,0.000671588,0.000671588,0.000671588
5,85.65,0.58709,0.85866,0.87942,0.79361,0.68936,0.71916,0.63752,0.50806,0.92322,0.86335,0.000657451,0.000657451,0.000657451
6,102.911,0.56086,0.77167,0.87609,0.77214,0.66937,0.7085,0.62413,0.50096,1.20349,0.85643,0.000643314,0.000643314,0.000643314
7,120.175,0.5527,0.71329,0.87098,0.81614,0.6889,0.75642,0.67227,0.47661,0.85685,0.85206,0.000629177,0.000629177,0.000629177
8,137.803,0.54185,0.67934,0.872,0.79279,0.69735,0.72293,0.64097,0.49514,0.77466,0.85924,0.00061504,0.00061504,0.00061504
9,155.69,0.54934,0.68529,0.87801,0.81855,0.70136,0.74186,0.66364,0.46114,0.80215,0.84483,0.000600902,0.000600902,0.000600902
10,173.775,0.53735,0.63241,0.86909,0.82475,0.70154,0.75329,0.6702,0.45401,0.79719,0.83915,0.000586765,0.000586765,0.000586765
11,191.864,0.52113,0.59911,0.86562,0.82572,0.69996,0.73336,0.6627,0.44382,0.7832,0.83926,0.000572628,0.000572628,0.000572628
12,209.979,0.51341,0.57993,0.8655,0.81354,0.71914,0.75762,0.68509,0.43609,0.72455,0.84001,0.000558491,0.000558491,0.000558491
13,228.233,0.50859,0.58,0.86478,0.81172,0.73147,0.76868,0.68717,0.45121,0.71398,0.84528,0.000544354,0.000544354,0.000544354
14,246.411,0.50982,0.55688,0.86291,0.85608,0.70015,0.77133,0.70124,0.41648,0.67483,0.84028,0.000530216,0.000530216,0.000530216
15,264.515,0.50598,0.52685,0.86227,0.82201,0.6992,0.754,0.6875,0.41131,0.67949,0.83671,0.000516079,0.000516079,0.000516079
16,282.777,0.49609,0.53052,0.86321,0.84348,0.70906,0.76953,0.69622,0.41367,0.66764,0.83686,0.000501942,0.000501942,0.000501942
17,301.113,0.4851,0.49555,0.85497,0.851,0.7194,0.79268,0.71223,0.42972,0.62262,0.84044,0.000487805,0.000487805,0.000487805
18,319.352,0.47956,0.48546,0.85391,0.83402,0.70394,0.75589,0.68966,0.4147,0.67714,0.83812,0.000473668,0.000473668,0.000473668
19,337.574,0.48006,0.48396,0.85477,0.85637,0.68513,0.75466,0.68586,0.41152,0.691,0.83583,0.00045953,0.00045953,0.00045953
20,355.821,0.46891,0.47561,0.85171,0.83362,0.71371,0.76326,0.69631,0.41067,0.64441,0.83866,0.000445393,0.000445393,0.000445393
