epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.89005,3.13713,5.36247,2.71581,0.05016,0.5,0.22335,0.0704,2.95895,4.98956,3.64991,0,0,0
2,4.33259,2.79566,5.35138,2.97322,0.05412,0.5,0.12729,0.04216,3.00071,4.79336,3.69437,6.78657e-06,6.78657e-06,6.78657e-06
3,4.78889,2.75122,4.58758,2.81491,0.05443,0.5,0.09716,0.03377,2.98669,4.58747,3.64498,1.28663e-05,1.28663e-05,1.28663e-05
4,5.05543,2.75102,4.61406,2.45496,0.05556,0.5,0.10244,0.03639,2.99554,4.42982,3.65177,1.82391e-05,1.82391e-05,1.82391e-05
5,5.3023,2.46637,5.76571,2.32301,0.05707,0.5,0.10283,0.03601,2.98339,4.3763,3.64893,2.29051e-05,2.29051e-05,2.29051e-05
6,5.55316,2.70207,4.9497,2.37991,0.06201,0.5,0.10361,0.03648,2.96651,4.30303,3.62214,2.68642e-05,2.68642e-05,2.68642e-05
7,5.79945,2.75632,4.95807,2.9068,0.06181,0.5,0.10317,0.03639,2.9583,4.26487,3.62664,3.01165e-05,3.01165e-05,3.01165e-05
8,6.05221,2.65285,4.43762,2.99846,0.05958,0.5,0.1024,0.03607,2.93195,4.11941,3.61457,3.26619e-05,3.26619e-05,3.26619e-05
9,6.30361,2.9711,3.75427,3.35515,0.05874,0.5,0.10171,0.03593,2.91305,4.14545,3.6507,3.45005e-05,3.45005e-05,3.45005e-05
10,6.5619,3.01315,4.68094,2.58628,0.05556,0.3,0.09675,0.03511,2.91575,4.20611,3.56255,3.56322e-05,3.56322e-05,3.56322e-05
11,11.0317,2.39317,4.5094,2.60665,0.05079,0.3,0.09675,0.03511,2.87493,4.08003,3.5956,3.6057e-05,3.6057e-05,3.6057e-05
12,11.4065,2.93623,4.85573,3.17518,0.26538,0.1,0.13817,0.04918,2.86319,3.96543,3.53787,3.5775e-05,3.5775e-05,3.5775e-05
13,11.6803,2.61947,3.62659,3.03801,0.26378,0.1,0.23767,0.07903,2.86249,3.97658,3.54138,3.47861e-05,3.47861e-05,3.47861e-05
14,12.0473,2.77871,4.95378,2.50196,0.26395,0.1,0.23767,0.07903,2.86711,3.93575,3.58175,3.30903e-05,3.30903e-05,3.30903e-05
15,12.3196,2.79316,3.85175,2.81621,0.05079,0.3,0.23767,0.07903,2.88576,3.86254,3.59081,3.06877e-05,3.06877e-05,3.06877e-05
16,12.5815,2.42077,4.22424,2.56093,0.05079,0.3,0.23767,0.07903,2.87628,3.85792,3.55977,2.75782e-05,2.75782e-05,2.75782e-05
17,12.8548,2.70186,3.95873,2.50024,0.04857,0.3,0.2371,0.07875,2.90062,3.75121,3.57936,2.37619e-05,2.37619e-05,2.37619e-05
18,13.0929,2.8769,3.48386,3.00002,0.04857,0.3,0.2371,0.07875,2.90062,3.75121,3.57936,1.92387e-05,1.92387e-05,1.92387e-05
19,13.3618,2.66283,4.17075,2.7908,0.48788,0.1,0.2536,0.087,2.89828,3.64324,3.56648,1.40087e-05,1.40087e-05,1.40087e-05
20,13.5935,2.89335,4.08115,2.99248,0.48788,0.1,0.2536,0.087,2.89828,3.64324,3.56648,8.07177e-06,8.07177e-06,8.07177e-06
